round,train_loss,test_acc,test_loss,max_acc,lr,class0_precision,class0_recall,class0_f1,class1_precision,class1_recall,class1_f1,class2_precision,class2_recall,class2_f1,trainable_params
0,1.0381,45.75,1.0577,45.75,1.29e-04,0.4575,1.0000,0.6278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1773315
1,0.7313,62.51,1.1302,62.51,2.79e-04,0.5912,0.9433,0.7268,0.7167,0.5870,0.6454,0.0000,0.0000,0.0000,1773315
2,0.6007,67.59,0.9128,67.59,4.29e-04,0.7329,0.8966,0.8065,0.6034,0.8061,0.6902,0.0000,0.0000,0.0000,1773315
3,0.4216,71.64,0.9670,71.64,5.79e-04,0.8386,0.8971,0.8669,0.5993,0.9282,0.7284,0.0000,0.0000,0.0000,1773315
4,0.3388,64.12,0.7751,71.64,7.29e-04,0.9266,0.6947,0.7941,0.4936,0.9710,0.6545,0.3824,0.0154,0.0295,1773315
5,0.2575,73.53,1.4400,73.53,7.50e-04,0.8612,0.9180,0.8887,0.6154,0.9565,0.7490,0.0000,0.0000,0.0000,1773315
6,0.4103,68.92,0.6640,73.53,7.49e-04,0.9207,0.7921,0.8516,0.5429,0.9328,0.6863,0.4843,0.0910,0.1532,1773315
7,0.2149,74.16,1.8904,74.16,7.48e-04,0.8594,0.9384,0.8972,0.6239,0.9473,0.7523,0.0000,0.0000,0.0000,1773315
8,0.6024,74.53,0.6691,74.53,7.47e-04,0.8196,0.9719,0.8893,0.6571,0.9099,0.7631,0.7500,0.0035,0.0071,1773315
9,0.2435,74.26,0.9883,74.53,7.45e-04,0.8603,0.9450,0.9007,0.6237,0.9412,0.7502,0.0000,0.0000,0.0000,1773315
10,0.2681,81.30,0.6817,81.30,7.43e-04,0.8008,0.9818,0.8821,0.8623,0.7885,0.8238,0.7550,0.4882,0.5930,1773315
11,0.1882,74.23,1.8492,81.30,7.40e-04,0.8762,0.9378,0.9060,0.6139,0.9504,0.7460,0.0000,0.0000,0.0000,1773315
12,0.6022,74.74,0.5841,81.30,7.37e-04,0.8059,0.9840,0.8861,0.6705,0.8840,0.7626,0.8519,0.0272,0.0527,1773315
13,0.1998,74.41,1.4081,81.30,7.34e-04,0.8745,0.9428,0.9074,0.6172,0.9489,0.7479,0.0000,0.0000,0.0000,1773315
14,0.4320,81.33,0.5496,81.33,7.30e-04,0.8146,0.9835,0.8911,0.7950,0.8527,0.8228,0.8743,0.3865,0.5361,1773315
15,0.1833,74.71,1.4180,81.33,7.26e-04,0.8732,0.9543,0.9120,0.6210,0.9420,0.7486,0.0000,0.0000,0.0000,1773315
16,0.3738,84.68,0.4909,84.68,7.22e-04,0.8019,0.9906,0.8863,0.9362,0.7954,0.8601,0.8488,0.6170,0.7146,1773315
17,0.1715,74.84,1.5609,84.68,7.17e-04,0.8305,0.9785,0.8985,0.6523,0.9122,0.7607,0.0000,0.0000,0.0000,1773315
18,0.5330,74.13,0.5892,84.68,7.11e-04,0.8140,0.9868,0.8921,0.6501,0.8763,0.7464,1.0000,0.0047,0.0094,1773315
19,0.2024,74.94,0.8404,84.68,7.06e-04,0.8336,0.9813,0.9015,0.6508,0.9107,0.7591,1.0000,0.0012,0.0024,1773315
20,0.2192,87.44,0.3633,87.44,7.00e-04,0.9173,0.9208,0.9190,0.8158,0.9160,0.8630,0.8864,0.7104,0.7887,1773315
21,0.1503,74.46,1.8799,87.44,6.93e-04,0.8015,0.9774,0.8808,0.6727,0.9023,0.7708,0.0000,0.0000,0.0000,1773315
22,0.6261,74.38,0.6792,87.44,6.87e-04,0.8023,0.9780,0.8815,0.6701,0.8992,0.7679,0.0000,0.0000,0.0000,1773315
23,0.2365,74.46,0.8625,87.44,6.80e-04,0.8051,0.9791,0.8836,0.6684,0.8985,0.7665,1.0000,0.0024,0.0047,1773315
24,0.2567,77.83,0.5841,87.44,6.72e-04,0.9009,0.9103,0.9056,0.6509,0.9466,0.7714,0.8534,0.2340,0.3673,1773315
25,0.1706,74.64,1.1253,87.44,6.64e-04,0.8058,0.9813,0.8849,0.6714,0.9015,0.7696,1.0000,0.0012,0.0024,1773315
26,0.2941,87.64,0.3687,87.64,6.56e-04,0.8911,0.9494,0.9193,0.8930,0.8534,0.8728,0.8140,0.7553,0.7836,1773315
27,0.1446,74.76,2.2508,87.64,6.48e-04,0.8387,0.9725,0.9007,0.6447,0.9183,0.7576,0.0000,0.0000,0.0000,1773315
28,0.7251,71.51,0.6567,87.64,6.39e-04,0.7061,0.9978,0.8270,0.7313,0.7832,0.7564,1.0000,0.0024,0.0047,1773315
29,0.2065,74.26,1.6971,87.64,6.30e-04,0.7994,0.9818,0.8813,0.6697,0.8901,0.7643,0.0000,0.0000,0.0000,1773315
30,0.4806,75.99,0.5579,87.64,6.21e-04,0.7193,0.9978,0.8359,0.8097,0.7924,0.8009,0.9882,0.1986,0.3307,1773315
31,0.1767,74.41,1.4405,87.64,6.12e-04,0.8086,0.9829,0.8873,0.6633,0.8931,0.7612,0.0000,0.0000,0.0000,1773315
32,0.4021,83.54,0.4373,87.64,6.02e-04,0.8731,0.9692,0.9187,0.7605,0.9092,0.8282,0.9410,0.4338,0.5939,1773315
33,0.1508,74.43,1.3427,87.64,5.92e-04,0.7992,0.9807,0.8807,0.6741,0.8969,0.7697,0.0000,0.0000,0.0000,1773315
34,0.3420,86.24,0.3687,87.64,5.82e-04,0.9241,0.9180,0.9211,0.7964,0.9137,0.8510,0.8436,0.6631,0.7426,1773315
35,0.1418,74.41,1.6260,87.64,5.71e-04,0.8054,0.9763,0.8826,0.6678,0.9023,0.7675,0.0000,0.0000,0.0000,1773315
36,0.5348,74.58,0.6925,87.64,5.61e-04,0.8327,0.9637,0.8934,0.6476,0.9229,0.7611,1.0000,0.0035,0.0071,1773315
37,0.2076,74.84,0.7352,87.64,5.50e-04,0.8205,0.9752,0.8912,0.6606,0.9076,0.7646,0.9231,0.0142,0.0279,1773315
38,0.1948,78.36,0.6178,87.64,5.39e-04,0.8488,0.9697,0.9053,0.6896,0.9191,0.7880,0.9735,0.1738,0.2949,1773315
39,0.1607,75.09,1.0436,87.64,5.28e-04,0.8138,0.9763,0.8877,0.6703,0.9015,0.7689,0.9032,0.0331,0.0639,1773315
